wave,tracker_id,deliverable,implementation_status,qa_status,evidence_path,remaining_runtime_validation
60,TRK-W60-001,GitHub minimal personal project protocol,complete,qa_passed,Plan/Instructions/QA/Evidence/Git_Verification/W59_W60_GIT_RECOVERY_INITIAL_COMMIT_20260706T010603-0500.json,Git repo initialized; origin main pushed and verified; no token values printed.
60,TRK-W60-002,AWS EC2 GPU server start/stop protocol,complete,qa_passed_with_auth_blocker_recorded,Plan/Instructions/QA/Evidence/Runtime_Readiness/W60_W61_RUNTIME_READINESS_PREFLIGHT_20260706T012301-0500.json; Plan/Instructions/QA/Evidence/EC2_Runtime_Discovery/W60_W61_EC2_RUNTIME_DISCOVERY_20260706T012748-0500.json; Plan/Instructions/QA/Evidence/Done_Certifications/CERT_W60_W61_EC2_RUNTIME_DISCOVERY_20260706T012748-0500.md; Plan/Instructions/QA/Evidence/Runtime_Readiness/W60_W61_AWS_AUTH_GATE_20260706T031007-0500.json; Plan/Instructions/QA/Evidence/Done_Certifications/CERT_W60_W61_AWS_AUTH_GATE_HELPER_20260706T031007-0500.md,AWS account EC2 identity start SSM discovery stop and stopped-state verification passed earlier; current AWS auth gate records blocked_external_auth and EC2 work must wait for account 029530099913 verification.
60,TRK-W60-003,Local to EC2 sync protocol,complete,qa_passed,Plan/Instructions/QA/Evidence/EC2_Project_Sync/W60_W61_EC2_PROJECT_SYNC_20260706T015022-0500.json; Plan/Instructions/QA/Evidence/Done_Certifications/CERT_W60_W61_EC2_PROJECT_SYNC_20260706T015022-0500.md,EC2 project checkout synced to /home/ubuntu/Comfy_UI_Main with Git LFS and matching HEAD; runtime inventory remains pending.
60,TRK-W60-004,EC2 to local artifact pullback protocol,completed_plus_helper,pullback_helper_dry_run_pass_pending_runtime_artifacts,Plan/Instructions/Operations/EC2_TO_LOCAL_ARTIFACT_PULLBACK_PROTOCOL.md; Plan/Instructions/Operations/Scripts/New-EC2PullbackRecord.ps1; Plan/Instructions/QA/Evidence/Runtime_Readiness/W60_EC2_PULLBACK_RECORD_DRY_RUN_20260706T031758-0500.json; Plan/Instructions/QA/Evidence/Done_Certifications/CERT_W60_EC2_PULLBACK_RECORD_HELPER_DRY_RUN_20260706T031758-0500.md,Pullback protocol exists and local pullback record helper dry-run passed; live artifact pullback remains pending first GPU workflow execution.
60,TRK-W60-005,Civitai API operating protocol,complete,qa_passed,Plan/Instructions/QA/Evidence/Runtime_Readiness/W60_W61_RUNTIME_READINESS_PREFLIGHT_20260706T012301-0500.json; Plan/Instructions/QA/Evidence/Done_Certifications/CERT_W60_W61_RUNTIME_READINESS_PREFLIGHT_20260706T012301-0500.md,Civitai authenticated metadata endpoint passed; downloads remain pending until a concrete model acquisition task.
60,TRK-W60-006,Model download and registry update protocol,completed,static_validation_pass,Plan/Instructions/Operations/MODEL_DOWNLOAD_AND_REGISTRY_UPDATE_PROTOCOL.md,Runtime model load and QA evidence required before any model is marked usable.
60,TRK-W60-007,Model metadata lookup protocol,completed,static_validation_pass,Plan/Instructions/Operations/MODEL_METADATA_LOOKUP_PROTOCOL.md,Current upstream metadata must be checked at execution time.
60,TRK-W60-008,Model storage and compatibility protocol,complete,qa_passed,Plan/Instructions/QA/Evidence/EC2_Runtime_Inventory/W60_W61_EC2_RUNTIME_INVENTORY_20260706T020209-0500.json; Plan/Instructions/QA/Evidence/Done_Certifications/CERT_W60_W61_EC2_RUNTIME_INVENTORY_20260706T020209-0500.md,EC2 ComfyUI model inventory passed; workflow-specific compatibility match remains pending.
60,TRK-W60-009,Secrets and .env handling protocol,complete,qa_passed,Plan/Instructions/QA/Evidence/Git_Verification/W59_W60_GIT_RECOVERY_INITIAL_COMMIT_20260706T010603-0500.json,.gitignore and .env.example created; .env ignored and untracked after Git initialization.
60,TRK-W60-010,Operations helper scripts/templates/schemas,complete,qa_passed,Plan/Instructions/QA/Evidence/Operations_Static_Validation/W60_OPERATIONS_STATIC_VALIDATION_20260706T004632-0500.json; Plan/Instructions/QA/Evidence/Done_Certifications/CERT_W60_OPERATIONS_STATIC_VALIDATION_20260706T004632-0500.md; Plan/Instructions/QA/Evidence/Runtime_Readiness/W60_W61_AWS_AUTH_GATE_20260706T031007-0500.json; Plan/Instructions/QA/Evidence/Done_Certifications/CERT_W60_W61_AWS_AUTH_GATE_HELPER_20260706T031007-0500.md; Plan/Instructions/QA/Evidence/Runtime_Readiness/W60_EC2_PULLBACK_RECORD_DRY_RUN_20260706T031758-0500.json; Plan/Instructions/QA/Evidence/Workflow_Static_Validation/W61_EC2_LANE_STATIC_PROOF_BLOCKED_EXECUTE_20260706T034448-0500.json; Plan/Instructions/QA/Evidence/Workflow_Runtime/W61_EC2_WORKFLOW_SMOKE_RUN_DRY_RUN_20260706T034516-0500.json; Plan/Instructions/QA/Evidence/Runtime_Readiness/W61_LANE_RUNTIME_READINESS_20260706T034515-0500.json; Plan/Instructions/QA/Evidence/Operations_Static_Validation/W60_OPERATIONS_HELPER_CURRENT_VALIDATION_20260706T035148-0500.json; Plan/Instructions/QA/Evidence/Done_Certifications/CERT_W60_OPERATIONS_HELPER_CURRENT_VALIDATION_20260706T035148-0500.md,Current operations helper validation passed locally for all 14 operation scripts 5 schemas/templates and 6 local-only smoke checks without runtime execution.
